name,minutes,nutrition,n_steps,steps,description,ingredients,ingredients
apple pie,43200,"[285.8, 0.0, 281.0, 0.0, 0.0, 0.0, 24.0]",2,"['mix ingredence together except everclear and pour in to a ceramic jug that light will not penetrate close with cork or lid put jug in a cool dark place for 1 month', 'after 1 month shake up mixture and strain with cloth add everclear and serve cold']",a home made alcohalic drink it take 1 month for this drink to be perfect i add everclear for more of a kick but it is not needed but you will need a ceramic jug,"['apple juice', 'raw honey', 'whole cloves', 'everclear alcohol', 'ground cinnamon', 'cheesecloth']",6
aunt johnnie s   pound cake,120,"[650.5, 49.0, 201.0, 8.0, 15.0, 78.0, 27.0]",10,"['preheat oven to 300f', 'lightly grease and flour a 10 inch bundt pan', 'cream shortening , butter and sugar until light and fluffy with an electric mixer', 'add eggs one at a time , beating well after each addition', 'beat in almond extract', 'in another bowl , combine baking powder and flour', 'stir into creamed mixture alternately with the milk , starting and ending with flour', 'pour batter into prepared pan', 'bake in the preheated oven for 1 to 1 1 / 2 hours , or until a toothpick inserted into the center of the cake comes out clean', 'allow cake to cool in pan for 10 minutes , then turn out onto a wire rack and cool completely']","this pound cake is a must try if you love the taste of a dense, moist and rich dessert cake. served with fruit and whipped cream, with a sauce or plain, this pound cake will fill your needs.  i found this recipe on all recipes and thought i should share it here.","['shortening', 'butter', 'white sugar', 'eggs', 'almond extract', 'milk', 'baking powder', 'cake flour']",8
aww   shucks  crescent dough dessert,50,"[308.5, 17.0, 123.0, 8.0, 7.0, 34.0, 15.0]",14,"['heat oven to 350', 'grease one 13x9 inch pan', 'roll out first can of crescent dough into bottom of pan , and slightly up sides', 'beat cream cheese , 1 cup of the sugar , and vanilla together', 'spread over crescent dough', 'microwave jam or preserves for 45 seconds , stirring once after twenty five seconds , to make it slightly liquid', 'spread jam on top of cream cheese , taking care not to mix the two together but keeping them layered', 'with your hands , gently stretch second can of crescent dough and place on top of jam layer', 'this does not have to cover perfectly , in fact , open seams here and there look quite pretty with the jam peeking through', 'mix melted butter , remaining 3 / 4 cup sugar , and cinnamon together , making sure to incorporate all the butter', 'gently spoon butter mixture over dough , spreading to cover', 'bake , uncovered , for 35 minutes , until top is browned nicely', 'let it cool for fifteen minutes , cut and serve !', 'tastes best warm or room temp , but cold is delicious , too']","this is a souped up version of another zaar recipe, that i played around with until i thought it couldn't get any better.  when i bring this to social gatherings, people are so estatic in their compliments, that i have to say ""aw, shucks, it's easy.""  hence, the name.","['crescent roll dough', 'cream cheese', 'sugar', 'vanilla', 'jam', 'butter', 'cinnamon']",7
bacon cheeseburger and fries  soup,60,"[971.3, 99.0, 30.0, 65.0, 88.0, 163.0, 18.0]",24,"['in a large skillet , cook bacon', 'drain', 'crumble', 'set aside in a medium bowl', 'do not discard grease from skillet', 'in same skillet with bacon grease brown beef , onion , celery , garlic powder and pepper', 'remove with slotted spoon to bowl with bacon', 'be sure to remove all solids from skillet , leaving fat', 'add tomatoes to the beef mixture', 'peel potatoes and cut into 1 / 2"" dice', 'when fat in skillet is very hot again , fry potato cubes on all sides until well browned', 'drain', 'remove to bowl with bacon and beef', 'in soup pot , melt butter and add flour', 'whisk for 1 minute to cook flour', 'add chicken broth and half-and-half', 'cook , whisking constantly , until you see the first signs of thickening', 'begin adding grated cheeses , a little at a time , whisking constantly , until soup is bubbling , creamy and thick', 'remove from heat', 'add parsley , mustard and relish', 'stir well', 'add bowl of bacon and beef mixture and potatoes', 'stir', 'cover and let stand 5 minutes']","my son asked for cheeseburger soup, and having never made it i researched 'zaar. while i was browsing i had a vision: the best bacon-cheeseburger and fries i ever had, chopped into a soup or chowder. this is my vision realized. it came out even better than i had hoped. the flavors are layered, no one thing stands out, but each ingredient is recognizable. the celery stands in for lettuce, and everthing else is present! it is very rich.","['bacon', 'lean ground beef', 'onion', 'celery', 'garlic powder', 'black pepper', 'whole tomatoes', 'russet potatoes', 'butter', 'flour', 'chicken broth', 'half-and-half', 'extra-sharp cheddar cheese', 'velveeta cheese', 'parsley', 'yellow mustard', 'dill pickle relish']",17
bailey s hot fudge sauce,30,"[1145.6, 105.0, 470.0, 21.0, 21.0, 214.0, 45.0]",6,"['over medium low heat melt butter and chocolate squares , take off heat', 'add 1 / 3 of the sugar and 1 / 3 of the evaporated milk , mix with a whisk until smooth', 'add remaining sugar and milk , stir until smooth', 'return to heat and simmer for 8 to 10 minutes', 'pour into canning jars or other container , let cool and close jar', 'recipe can be doubled']","this recipe is from ""bailey's"" of boston. long gone ice cream parlor but had great hot fudge sauce!","['butter', 'unsweetened chocolate squares', ""confectioners' sugar"", 'evaporated milk']",4
baked  apple cinnamon oatmeal,10,"[109.3, 5.0, 38.0, 1.0, 3.0, 3.0, 6.0]",8,"['core and peel apple', 'place in a microwaveable safe bowl and sprinkle brown sugar and cinnamon in apple', 'stuff it with cranberries and oats and top it with butter', 'cover with saran wrap and microwave for about 3 1 / 2 minutes', 'let it rest for about 2 minutes', 'chop the apple and add it to the dry instant oatmeal', 'follow the packet directions and add the juice from the cooked apple to the bowl', 'microwave about 1 1 / 2 minutes']","this is a twist on regular oatmeal for breakfast. it's quick because you ""bake"" the apples in the microwave and use instanat oatmeal.
note: most of y measurements are guestimates because this was the first time i made this recipe so feel free to add or subtract ingredients. this makes 2 servings but you can easy double it.","['apple', 'brown sugar', 'cinnamon', 'oats', 'dried cranberries', 'margarine', 'oatmeal']",7
basic  beet borscht,55,"[189.0, 1.0, 130.0, 157.0, 13.0, 0.0, 14.0]",16,"['cut off beet greens from the beets but leave about an inch or two of the tops on the beets', 'option:mince removed beet tops to add later', 'scrub the beets well', 'in a large pot , add beets and cover with cold water', 'bring the water to a boil and boil this for about 15-25 minutes until the beets are cooked', 'remove the beets from the water', 'save the water from the beets', 'remove the skins from the beets', 'strain the""beet juice"" into a pot', 'peel and grate the onion', 'grate the beets', 'put the grated onion and beets into the pot with the strained beet juice', 'option:you can add the finely chopped / minced beet tops , if you want to use them', 'bring all to a quick boil', 'add the salt , lemon juice , pepper , and honey , simmer until the honey has dissolved and all is well heated', 'serve , garnished with a dollop of sour cream']","a very ""basic"" beet borscht recipe. posted in reply to a message board request.","['beets', 'water', 'onions', 'salt', 'lemon juice', 'white pepper', 'honey', 'sour cream']",8
bbq  pork,70,"[81.0, 0.0, 61.0, 13.0, 2.0, 0.0, 6.0]",14,"['trim fat off pork', 'cut into bite sized cubes', 'i always season my pork with salt , pepper and garlic powder to taste', 'put celery salt , brown sugar , chili powder and onion flakes in a big ziploc baggie', 'add pork', 'shake well to coat', 'in a casserole or oven proof dish add the soup and vinegar', 'stir', 'add contents of baggie to dish', 'stir', 'cover and bake 1 1 / 2 hours @350', 'baking time is alot -- it was very cooked so check after 1 hour', 'serve over rice', 'enjoy !']",i just had dinner at my friend's house and they served this. it was so quick and easy. it tasted great! that's all i need when i have a family to feed. thanks jax... i had to share.,"['boneless pork loin chops', 'brown sugar', 'celery salt', 'chili powder', 'onion flakes', 'tomato soup', 'vinegar']",7
beat the blues  blue cheese risotto,40,"[1053.2, 79.0, 40.0, 95.0, 86.0, 118.0, 32.0]",18,"['nb: i like to use a fairly strong flavoured , but creamy blue cheese , like gorgonzola , but stilton is also nice', 'stock-wise , you may need a little more or less than in the ingredients list', 'bring stock up to a simmer', 'halve the leeks and remove any gritty bits from inside the rings', 'cut the leek into fine strips rather than semi-circles , of approx 1-2 inches in length', 'melt half the butter with the olive oil and cook the leeks for approx 10 minutes over a low-medium heat until soft and tinged with brown', 'add bacon to pan and cook for about 5 minutes', ""stir in garlic and rice , cook for a further minute or two , stirring the rice until it's coated in the butter and oil and starts to go slightly translucent"", 'add the wine to the pan , turning up the heat to bubble most of it away', 'add a ladleful of hot stock to the leek and rice mixture at a time , stirring more or less constantly', 'add more stock each time that most of the liquid has been absorbed', 'add the fresh sage', 'keep doing this for approximately 15 - 25 minutes , until the risotto is creamy , but the rice grains still have a slight bite', ""you'll need to start testing the rice after about 15 minutes , but it may take a little longer"", 'turn off the heat', 'stir in the lemon juice , zest , remaining butter , parmesan and blue cheese', 'leave the risotto for another 2 minutes until rich , creamy and luscious', 'season to taste with black pepper and salt if needed']","risotto is the ultimate comfort food, it's like being hugged by your dinner. you can make do with a spoon and don't even need to bother with proper grown-up cutlery.
a bowl of this can (almost) make everything better again when your down.","['butter', 'olive oil', 'leeks', 'garlic cloves', 'smoked bacon', 'arborio rice', 'dry white wine', 'chicken stock', 'fresh sage', 'lemon, juice and zest of', 'blue cheese', 'parmesan cheese', 'fresh ground black pepper']",13
beefy  seitan log,94,"[49.6, 1.0, 0.0, 16.0, 11.0, 0.0, 2.0]",7,"['preheat the oven to 325f', 'mix together the dry ingredients in a large bowl', 'mix together the liquid ingredients in a smaller bowl , then stir them into the dry ingredients until completely blended', 'knead the dough in the bowl for a couple minutes , then place on a sheet of foil and shape into a log about 6 to 8 inches long', 'wrap the foil tightly around the log and twist the ends', 'bake for 80 minutes', 'slice or chop as desired , and serve immediately or store in the refrigerator or freezer']","this is based on the ""seitan log"" and its variations posted by vegsocialworker.  i realized that portabella and shiitake mushrooms are sometimes described as ""beefy"", so i decided to make a seitan with mushroom stock instead of veggie stock.","['vital wheat gluten', 'nutritional yeast', 'ground cumin', 'onion powder', 'garlic powder', 'mushroom stock', 'soy sauce', 'vegetarian worcestershire sauce']",8
berinzila   eggplant and ham,60,"[365.3, 32.0, 37.0, 4.0, 43.0, 49.0, 7.0]",10,"['preheat oven to 350 dg', 'peel eggplants , slice , sprinkle lightly with garlic salt and set aside about 15 minutes on paper towels', 'saute onion in 1 t butter or oil , add ham and wine , and cook until wine nearly evaporates', 'add tomatoes and simmer 10 minutes', 'meanwhile , pat eggplant dry , dust with flour and fry in 2 t butter or oil until golden', 'drain', 'layer eggplant , then a portion of ham mixture , another layer of eggplant , etc', 'in greased casserole dish and cover with parmesan cheese', 'bake at 350 dg', 'for 30 minutes']","i was given this recipe years ago by a friend.  i am not sure what country the dish ""barinzila"" comes from, but hope you enjoy it!","['eggplants', 'garlic salt', 'onion', 'butter', 'cooked ham', 'white wine', 'tomatoes', 'flour', 'parmesan cheese']",9
berry good  smoothie,5,"[133.0, 1.0, 103.0, 0.0, 2.0, 0.0, 10.0]",1,['mix all ingredients in blender until smooth'],"chock full of the comforting and down-home country taste of berries! freeze your fresh berries before using, or use frozen ones purchased from the store if they're not in season! :)","['apple juice', 'strawberry', 'raspberries', 'blackberry', 'blueberries']",5
better than a can  homemade sloppy joes,50,"[291.5, 13.0, 85.0, 25.0, 13.0, 7.0, 16.0]",26,"['to start the sauce: heat a 2 1 / 2-quart nonreactive saucepan over medium heat and , when hot , add the oil', 'when the oil is hot , stir in the onion , green and red pepper , celery and garlic', 'cook until the vegetables are softened and fragrant , 4 to 5 minutes', 'stir in the tomato puree , tomato paste , ketchup , vinegar , molasses and worcestershire sauce', 'bring the mixture to a simmer , reduce heat to very low and simmer with the cover ajar for 1 hour', 'to saut the mushrooms: heat an 8 - 10 inch skillet over high heat and , when hot , add the olive oil', 'when the oil is hot , add the chopped mushrooms and cook , stirring frequently , until the mushrooms are golden , 2 to 3 minutes', 'remove from the heat and set aside', 'to finish the sauce: after the sauce has simmered 1 hour , add the sauted mushrooms , chopped plum tomatoes , oregano , better than bouillon seasoning and some freshly ground black pepper', 'return to a simmer and cook with the cover ajar for 30 minutes more', 'to brown ground meat: heat a 10-inch non-reactive deep-sided skillet over medium heat', 'when hot , add the ground meat and break it up with a wooden spatula', 'cook the meat until separated and no longer pink , about 4 minutes', 'then remove from the stove and drain out any excess fat from skillet', 'return skillet to the stove , over low heat', 'stir in the sauce and bring the mixture to a gentle simmer , uncovered', 'cook gently until the flavors mingle and the mixture is piping hot throughout , about 10 minutes', 'add some more freshly ground black pepper and serve immediately', 'to assemble sloppy joes and serve: while the sauce is simmering , open the hamburger buns and spread both opened sides lightly with butter', 'lay the buns , buttered sides up , on a shallow baking sheet', 'broil the buns until the buttered sides are nicely toasted', 'spoon the ground beef mixture lavishly over buns and serve hot', 'if serving 4 , you will need 1 cup of sauce and 1 lb', 'of ground beef', 'the remaining sauce can be frozen for later use and ease', 'freeze cooled sauce in tightly sealed containers']","i've had this recipe for many years and i used to make it on a regular basis when i was a newly-wed and made it often for the kids when they were itty bitty. it is a great recipe and one well worth making from scratch.  due to a crazy work and life schedule, i weened off of making it but i'm placing it back on my repertoire.  i originally got this recipe from an old foodnetwork show called ""chef dujour"" where a different chef was featured daily.  this particular day, lauren groveman was the chef who presented this recipe.","['olive oil', 'yellow onion', 'green bell pepper', 'red bell pepper', 'celery', 'garlic cloves', 'tomato puree', 'tomato paste', 'ketchup', 'cider vinegar', 'unsulphured molasses', 'worcestershire sauce', 'button mushroom', 'plum tomatoes', 'dried oregano', 'beef bouillon', 'fresh ground black pepper', 'hamburger buns']",18
better than bouillon  gravy,10,"[41.9, 0.0, 0.0, 2.0, 0.0, 0.0, 3.0]",9,"['measure 4 cups of water into saucepan and heat at med-high to gentle boil', 'while waiting for water in saucepan to boil , whisk together 1 / 4 cup water with 2 1 / 2 t better than bouillon in a bowl until smooth', 'whisk this mixture into the boiling water , stir while bringing to a gentle boil again', 'reduce heat to low', 'mix the corn starch with 1 / 2 cup cold water in a bowl or large measuring cup', 'whisk well until the corn starch is thoroughly dissolved', 'gently pour the cornstarch mixture into the saucepan , adding a little bit at a time while you continue to whisk', 'increase heat and whisk for 2 minutes until thickened', 'add pepper to taste']","i found this recipe on youtube......for times when you don't have meat drippings, this makes a nice, smooth gravy without all the ""junk"" added to jar gravy or gravy mixes.  (i  like to make the beef gravy, then heat meatballs in it, and add a little sour cream for a nice ""comfort food"" to serve over noodles.)

""better than bouillon"" can be found in your grocery near the soup bases or the chicken or beef broth.","['water', 'beef base', 'cornstarch', 'pepper']",4
better  cake mix,35,"[53.1, 5.0, 0.0, 2.0, 1.0, 12.0, 1.0]",2,"['add these 3 ingredients to boxed caked mix', 'mix as usual']",to make a boxed cake mix even better add these 3 ingredients....it real does make a superior cake!,"['butter', 'flour', 'baking powder']",3
better than crack  brownies,50,"[339.3, 34.0, 28.0, 8.0, 15.0, 27.0, 10.0]",8,"['combine brownie mix , water , oil , and eggs until moistened', 'bake for 20-25 minutes in a 9x13 baking dish', 'remove brownies from oven , top with peanuts and peanut butter cups', 'bake for 4-6 minutes more', 'melt chocolate chips , peanut butter , and butter', 'stir in cereal', 'remove brownies from oven and pour chocolate-peanut butter mixture over hot brownies', 'refrigerate for two hours , then serve']","from ""how sweet it is"" - http://www.howsweeteats.com/2010/08/09/better-than-crack-brownies/","['brownie mix', 'water', 'vegetable oil', 'eggs', 'salted peanuts', ""reese's peanut butter cups"", 'milk chocolate chips', 'peanut butter', 'butter', 'puffed rice cereal']",10
biggest loser  fish tacos,50,"[323.5, 13.0, 9.0, 32.0, 40.0, 12.0, 13.0]",12,"['to make the fish: place the fish in a shallow baking dish and sprinkle with the lime juice , paprika , salt , black pepper , and chill powder', 'cover , refrigerate , and marinate for about 30 minutes', 'preheat the grill to medium-high heat', 'lightly coat a 24\' x 12"" piece of foil with olive oil cooking spray', 'place the fish in a single layer in the center of the foil', 'fold the foil over the and fold the ends upward to seal in the fish', 'place the foil packet on the preheated grill', 'cook for 7 to 10 minutes , or until the fish is opaque', 'remove from the grill', 'to assemble the tacos: warp the tortillas in foil and place them on the grill to warm for 2 minutes', 'spread about one-eighth of the mashed avocado on each tortilla and top with one-eight of the the fish', 'sprinkle each with cheese , salsa , cilantro , cabbage , and hot sauce , if desired']","this is out of the ""biggest loser"" cookbook 
140 calories, 18 g protein, 13 g carbohydrates, 5 g fat, 30 mg cholesterol, 8 g fiber, 480 mg sodium. please take the advice from sjmittens and increase the spices, especially if you enjoy spicy food.","['fish fillets', 'lime juice', 'paprika', 'salt', 'ground black pepper', 'chili powder', 'tortillas', 'avocado', 'cheese', 'salsa', 'fresh cilantro', 'cabbage', 'hot sauce']",13
blond  minestrone,60,"[191.8, 4.0, 22.0, 37.0, 23.0, 3.0, 10.0]",16,"['chop onions', 'heat oil in dutch oven over medium heat', 'add onion to pan and saute until softened - about 3-5 minutes', 'add oregano , basil and garlic , saute about 1 minute', 'stir in squash , zucchini , carrot and corn', 'saute until veggies are tender -- about 5 minutes', 'stir in broth bring to a boil , then reduce heat to low and simmer about 20 minutes', 'add pasta and beans to pan', 'cook about 10 minutes or until the pasta is tender', 'remove from heat', 'stir in spinach , add salt and pepper to taste', 'ladle into bowls', 'top with a dollop of pesto', 'garnish with freshly ground black pepper', 'if you must have tomatoes -- add 3 cups tomato to 2 of the 6 cups of broth , process in blender / food processor until smooth', 'add an additional cup of chopped tomatoes to the soup']","having recently discovered an allergy to tomatoes sent my italian world into a tailspin. how would i ever survive?? here is a wonderful, nourishing, comfort-food soup that i put together that eased my sense of deprivation. the amounts are very flexible, plus i've given directions on how to add tomatoes if you ""must"".","['olive oil', 'onion', 'dried oregano', 'dried basil', 'garlic cloves', 'yellow squash', 'zucchini', 'carrot', 'fresh corn', 'chicken broth', 'ditalini', 'great northern beans', 'baby spinach', 'salt', 'fresh coarse ground black pepper', 'pesto sauce']",16
boo tiful  jell o cups,50,"[150.0, 11.0, 73.0, 4.0, 4.0, 23.0, 6.0]",18,"['add boiling water to gelatin mix in large bowl', 'stir 2 minutes until completely dissolved', 'add ice', 'stir 3 to 5 minutes or until gelatin is thickened', 'remove any unmelted ice', 'whisk in 1 / 3 cup cool whip until blended', 'pour into 4 dessert dishes', 'refrigerate 30 minutes or until firm', 'drop remaining cool whip by spoonfuls onto desserts to resemble ghosts', 'add chocolate chips for the eyes', 'kraft kitchens', 'how to thaw cool whip whipped topping:', 'the best way to thaw frozen cool whip whipped topping is in its container in the refrigerator', 'depending on the size tub you havem the thawing time varies', 'recommended thawing times are: 8-ounce tube - 4 hours', '12-ounce tub - 5 hours', '16-ounce tub - 6 hours', 'we do not recommend thawing cool whip whipped topping in the microwave']",this was so good...everyone loved them.,"['boiling water', 'orange gelatin', 'ice cubes', 'cool whip topping', 'miniature semisweet chocolate chips']",5
buffalo wild wings  medium wing sauce copycat by todd,30,"[190.8, 29.0, 7.0, 62.0, 2.0, 13.0, 1.0]",7,"['combine first seven ingredients for the sauce your choice in a small saucepan', 'heat sauce over medium heat until boiling , reduce heat and simmer for 5 minutes', 'remove from heat and allow it to cool , uncovered , for 10 minutes', 'while the sauce cools , whisk egg yolk with 2 teaspoons water in a medium bowl until pale yellow', 'whisk in cornstarch until dissolved', 'drizzle the hot sauce mixture into the egg yolk mixture in a steady stream while rapidly whisking', 'cover the sauce and chill until ready to serve']","update: this recipe was created by todd wilbur for his cookbook ""top secret restaurant recipes 2"" (penguin random house 2007). www.topsecretrecipes.com. 

this is a recipee that i found on memmo's kitchen's website.  it tastes just like the restaurants.  i've used this sauce on legs, wings, and thighs.  i usually bake my chicken and it turns out great.  easier and less fat than frying.","['cayenne pepper sauce', 'vegetable oil', 'granulated sugar', 'cayenne pepper', 'garlic powder', 'worcestershire sauce', 'fresh coarse ground black pepper', 'egg yolk', 'water', 'cornstarch']",10
buffalo wing  mushrooms,30,"[2526.8, 345.0, 35.0, 106.0, 43.0, 87.0, 37.0]",8,"['in a medium-large mixing bowl , add in panko breadcrumbs and set aside', 'in a medium sized bowl , mix together flour , cornstarch , salt and black pepper', 'slowly whisk in water , making sure that it is not clumpy', 'in batches of three to four , drop in hen of the woods mushrooms into slurry then promptly into breadcrumbs', 'toss mushrooms in panko until the mushrooms are completely coated', 'remove the mushrooms from bowl and set out on a baking tray , making sure not to stack them up', 'bring four cups of canola oil up to 350f in a two-quart pot and drop in mushrooms', 'fry until golden brown and toss in hot sauce']",courtesy of ps kitchen.,"['mushrooms', 'cornstarch', 'all-purpose flour', 'salt', 'ground black pepper', 'seltzer water', 'panko breadcrumbs', 'canola oil']",8
buffalo  stuffed eggs,30,"[120.8, 13.0, 3.0, 7.0, 14.0, 12.0, 0.0]",2,"['except for the diced celery , combine & mix well all other ingredients', 'spoon mixture into egg halves & garnish w / diced celery']","i'm already on record here at rz that my hubby & i love devilled eggs. he has his favorite version, but these might become mine. haven't made them yet, but they just sounded so good that i couldn't wait to share ... & preserve the recipe for myself. recipe source: california egg commission & i made only 1 sml chg ... subbed for the seasoning according to my preference.
*** note: ingredient amts for mayo & blue cheese have been revised. ***","['eggs', 'blue cheese', 'mayonnaise', 'parsley', 'tabasco sauce', 'lemon-pepper seasoning', 'celery ribs']",7
call the fire department  hot wings,75,"[835.8, 71.0, 2.0, 72.0, 148.0, 89.0, 8.0]",10,"['in a bowl , combine flour , cayenne pepper , paprika , salt and pepper', 'mix', 'rinse off wings and coat in flour mixture', 'spray a large baking sheet with non-stick cooking spray and place wings on baking sheet', 'preheat oven to 375f', 'bake wings for 40 minutes , turning once 1 / 2 way through cooking', ""while wings are baking , combine butter , frank's hot sauce , and tabasco in a plastic bowl with lid"", 'once wings are finished baking , place 8-10 wings in the bowl', 'cover and shake to coat', 'serve with ranch dressing !']","my family loves hot wings! after several attempts of trying to re-create the restaurant hot wings, i finally came up with this recipe which my whole family seems to approve. my husband thinks they could be hotter, but then again, he adds red pepper flakes to most of his food. the kids and i think they are hot enough, but add even more tabasco if you wish!","['chicken drummettes', 'flour', 'cayenne pepper', 'paprika', 'salt', 'pepper', 'unsalted butter', 'cayenne pepper sauce', 'tabasco sauce']",9
caramel  apples,7,"[253.7, 4.0, 216.0, 1.0, 1.0, 8.0, 19.0]",10,"['pierce apples with popsicle sticks , set aside', 'melt butter in a medium saucepan', 'add remaining ingrediants , and gently bring to a boil , stirring frequently', 'cover , reduce heat and simmer for 3 minutes', 'do not uncover to stir !', 'remove from heat', 'mixture should be thin , but sticky , and saucepan sides should be steamy', 'stir well , and allow to thicken slightly before dipping apples', 'apples may be double dipped if desired', 'refrigerate 1-2 hours until caramel is set']","not exactly caramel, but very similar, and every bit as delicious! these turn out a bit ""runny"" compared to most candy apples, but are really delicious chopped up and served over toasted nuts or ice cream!","['apples', 'wooden popsicle sticks', 'butter', 'dark brown sugar', 'milk']",5
chmeur s  pudding,62,"[340.7, 13.0, 207.0, 6.0, 4.0, 9.0, 21.0]",9,"['preheat oven to 325f', 'mix flour and baking powder , set aside', 'in a bowl , beat eggs , sugar , and margarine', 'incorporate flour , alternating with milk', 'without spreading it , pour preperation into a greased 13""x9"" pan', 'mix all the ingredients for the sauce in a saucepan', 'boil for 2 minutes', 'pour over top of the dough', 'bake 45 minutes']","a classic french-canadian sweet. ""ch̫meur"" means un-employed; therefore, the dish bears its name because it is inexpensive. along with rice pudding and jello, this is one of most commonly offered desserts in diners.  

warning: may cause sugar overdose.

contrary to the usual recipe, this one uses milk for a more cake-like texture. the original recipe also doesn't call for an egg, but my mother always made it with the egg.","['flour', 'baking powder', 'margarine', 'sugar', 'milk', 'egg', 'vanilla', 'brown sugar', 'boiling water']",9
cheese  sauce  dairy free,10,"[252.5, 6.0, 0.0, 1.0, 39.0, 2.0, 13.0]",9,"['heat ""milk"" or broth on med', 'heat', 'take a couple tbsp of the hot liquid and mix it with the cornstarch until it dissolves', 'set aside', 'add yeast flakes and spices to hot liquid', 'stir until dissolved', 'add cornstarch to mixture and let it bubble on low heat until it reaches the thickness you want', 'you can use more or less liquid , depending on just how thick you want it to be', 'enjoy !']","this sauce is good over veggies or in pasta....my favorite is over a baked potato.
you can buy nutritional yeast at most health food stores. full of vit. b and protein!","['rice milk', 'nutritional yeast flakes', 'cornstarch', 'dry mustard']",4
cheeseburger  cookies and  fries,20,"[144.5, 10.0, 45.0, 3.0, 1.0, 11.0, 6.0]",15,"['place coconut into a ziploc sandwich bag and drop in several drops of green food coloring', 'roll around in your hands until all the coconut is tinted', 'set aside', 'in a separate bowl , tint some frosting red like ketchup and in another bowl , tint frosting yellow like mustard', 'set frosting aside', 'decide how many cookies you need , unwrap that many peppermint patties and set out twice as many wafter cookies', 'set half the wafer cookies , flat side up , onto a cookie sheet', 'put a small dab of vanilla frosting onto cookie and gently press down a peppermint patty', 'spread some ""ketchup"" and some ""mustard"" on top of the patty , sprinkle some ""lettuce"" on it and then place another cookie on top', 'brush a little honey on the top ""bun"" and sprinkle some sesame seeds onto them', 'set aside', ""take triangularly cut sheets of paper and fold them to resemble a french fry 'bag'"", 'if you want , use markers first to draw some golden arches and write ""mc ___ on them', 'then , tape them together and fill with some potato sticks', 'place a cheeseburger and bag of fries on a small paper plate and serve !']","i made these every year for our 5 kids to take to school on their birthdays.  other kids and teachers would swarm to see them !  our kids are now teenagers and their old school friends still talk about how ""cool"" they are !","['vanilla wafer cookies', 'shredded coconut', 'peppermint patties', 'sesame seeds', 'vanilla frosting', 'honey', 'green food coloring', 'red food coloring', 'yellow food coloring', 'potato sticks']",10
cheeseburger stuffed  french bread,40,"[790.6, 47.0, 56.0, 81.0, 94.0, 77.0, 27.0]",10,"['cook hamburger and onion , drain grease', 'add soup and spices , simmer 5-10 minutes', 'meanwhile , slice top third off bread , hollow out bottom half of loaf , leaving a 3 / 4-inch shell , save bread chunks , or feed to the birds !', 'spread top slice of bread , with butter', 'place hollowed out bread on cookie sheet and broil till lightly browned', 'take out of oven and fill with meat mixture , top with cheese slices', 'place buttered top next to it , put back in oven at 350', 'bake till heated through and top is toasted a little', 'put the top on , slice into wide slices for sandwiches , about 4-5 inches wide', '4-6 servings']",even though this is an easy one--it's actually really good!,"['hamburger', 'onion', 'tomato soup', 'garlic salt', 'salt', 'pepper', 'french bread', 'butter', 'velveeta cheese']",9
cheesecake factory  crab cakes,10,"[99.4, 4.0, 4.0, 10.0, 20.0, 2.0, 2.0]",20,"['measure all the ingredients for the crab cakes-- except the panko and vegetable oil-- into a large bowl', 'use a spatula to carefully fold the ingredients together', 'be sure not to over stir the mixture or those tasty lumps of crab will fall apart', ""the best crab cakes have nice big chunks of crab in'em"", 'use your hands or a spoon to fill six cups of a clean muffin tin with equal amounts of the crab mixture', 'press down a bit on each crab cake so that the top is flat', ""don't press too hard or the crab cakes will be hard to get out"", 'cover the muffin tin with plastic wrap and pop it in the fridge for a couple hours', ""this step will help the cakes stay together when they're browned in the oil"", 'after the crab cakes have chilled through , heat up about 1 / 4-inch of vegetable oil in large skillet over medium / low heat', 'fill a shallow bowl with the panko breadcrumbs', 'carefully turn the crab cakes out onto a plate', 'gently roll each crab cake around in the panko breadcrumbs', 'each crab cake should be wearing a light coating of panko', 'test the oil by dropping a pinch of panko into the pan', 'it should sizzle', 'saut the crab cakes in the hot oil for 1 1 / 2 to 3 minutes on each side or until the cakes are golden brown', 'drain crab cakes on paper towels or a rack very briefly , then serve them up hot with the remoulade sauce alongside in a little dish', 'makes 6 small crab cakes', 'serve with remoulade sauce']",be careful not to stir the crab too much into the other ingredients. best to fold the mixture gently with a spatula to combine everything. you want the big chunks of tasty crab to stay together as big chunks of tasty crab. freshly cooked blue crab is the best choice for this recipe; however a good quality canned crab is an acceptable substitute.,"['lump crabmeat', 'plain breadcrumbs', 'mayonnaise', 'green onions', 'red bell peppers', 'egg', 'fresh parsley', 'old bay seasoning', 'prepared yellow mustard', 'panko breadcrumbs', 'vegetable oil']",11
